RecordNo,Index,TopofMind,Unaided,Aided,TotalAwarness,Wykształcenie,Funkcja
2316,15,NA,NA,NA,Jagody,Średnie ogólne,Właściciel
2326,15,NA,NA,NA,NA,Wyższe rolnicze,Agronom – ekspert
2329,15,NA,NA,NA,NA,Średnie ogólne,???
2341,15,NA,NA,NA,Jagody,Średnie techniczne,Właściciel
2343,15,NA,NA,NA,NA,Wyższe,Agronom – ekspert
2355,15,NA,NA,NA,NA,Wyższe rolnicze,???
2420,15,NA,NA,NA,NA,Średnie techniczne,Agronom – ekspert
2422,15,NA,NA,NA,NA,Średnie ogólne,Główny agronom
2432,15,NA,NA,NA,NA,Wyższe rolnicze,Inne
2437,15,NA,NA,NA,NA,Wyższe,Agronom – ekspert
2438,15,NA,NA,NA,NA,Wyższe rolnicze,Główny agronom
2442,15,NA,NA,NA,NA,Wyższe rolnicze,???
2446,15,NA,NA,NA,NA,Średnie ogólne,Właściciel
2452,15,NA,NA,NA,NA,Wyższe,Dyrektor / wicedyrektor
2457,15,NA,NA,NA,NA,Średnie techniczne,Dyrektor / wicedyrektor
2479,15,NA,NA,NA,NA,Wyższe rolnicze,Główny agronom
2484,15,NA,NA,NA,NA,Średnie techniczne,Agronom – ekspert
2489,15,NA,NA,NA,Jagody,Wyższe rolnicze,Agronom – ekspert
2500,15,NA,NA,NA,NA,Wyższe rolnicze,Agronom – ekspert
2504,15,NA,NA,NA,NA,Wyższe rolnicze,Dyrektor / wicedyrektor
2509,15,NA,NA,NA,NA,Średnie techniczne,Właściciel
2520,15,NA,NA,NA,NA,Średnie techniczne,Właściciel
2527,15,NA,NA,NA,Porzeczki,Średnie ogólne,Właściciel
2537,15,NA,NA,NA,NA,Średnie ogólne,Właściciel
2538,15,NA,NA,NA,NA,Średnie techniczne,???
2545,15,NA,NA,NA,NA,Wyższe,Główny agronom
2549,15,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
2563,15,NA,NA,NA,NA,Wyższe rolnicze,Agronom – ekspert
2568,15,NA,NA,NA,NA,Średnie techniczne,???
2571,15,NA,NA,NA,NA,Wyższe,Agronom – ekspert
2574,15,NA,NA,NA,NA,Średnie techniczne,Dyrektor / wicedyrektor
2603,15,NA,NA,NA,Porzeczki,Średnie ogólne,Główny agronom
2613,15,NA,NA,NA,NA,Wyższe,Dyrektor / wicedyrektor
2628,15,NA,NA,NA,Jabłka,Wyższe,Agronom – ekspert
2631,15,NA,NA,NA,NA,Wyższe rolnicze,Agronom – ekspert
2634,15,NA,NA,NA,Jabłka,Wyższe,???
2638,15,NA,NA,NA,NA,Wyższe,Agronom – ekspert
2643,15,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
2647,15,NA,NA,NA,NA,Średnie techniczne,Dyrektor / wicedyrektor
2660,15,NA,NA,NA,NA,Wyższe,Agronom – ekspert
2670,15,NA,NA,NA,NA,Średnie ogólne,Główny agronom
2674,15,NA,NA,NA,NA,Wyższe rolnicze,Agronom – ekspert
2685,15,NA,NA,NA,NA,Średnie ogólne,Właściciel
2688,15,NA,NA,NA,NA,Średnie ogólne,???
2703,15,NA,NA,NA,NA,Wyższe,???
2707,15,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
2712,15,NA,NA,NA,NA,Średnie techniczne,Właściciel
2716,15,NA,NA,NA,Wiśnie,Średnie techniczne,Dyrektor / wicedyrektor
2719,15,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
2727,15,NA,NA,NA,NA,Średnie techniczne,Agronom – ekspert
2744,15,NA,NA,NA,NA,Wyższe,Dyrektor / wicedyrektor
2750,15,NA,NA,NA,NA,Wyższe,Główny agronom
2769,15,NA,NA,NA,NA,Wyższe rolnicze,Właściciel
2773,15,NA,NA,NA,Jagody,Średnie ogólne,Agronom – ekspert
2780,15,NA,NA,NA,Borówki,Wyższe,Dyrektor / wicedyrektor
2790,15,NA,NA,NA,NA,Średnie ogólne,???
2795,15,NA,NA,NA,NA,Wyższe rolnicze,Właściciel
2798,15,NA,NA,NA,NA,Średnie techniczne,Właściciel
2801,15,NA,NA,NA,NA,Średnie techniczne,Główny agronom
2804,15,NA,NA,NA,Wiśnie,Wyższe rolnicze,Agronom – ekspert
2809,15,NA,NA,NA,NA,Wyższe,???
2815,15,NA,NA,NA,NA,Średnie techniczne,Właściciel
2822,15,NA,NA,NA,Wiśnie,Średnie techniczne,Właściciel
2824,15,NA,NA,NA,NA,Średnie techniczne,Właściciel
2832,15,NA,NA,NA,NA,Średnie ogólne,???
2835,15,NA,NA,NA,NA,Średnie techniczne,???
2837,15,NA,NA,NA,NA,Średnie techniczne,Dyrektor / wicedyrektor
2853,15,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
2862,15,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
2868,15,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
2871,15,NA,NA,NA,NA,Wyższe,Główny agronom
2879,15,NA,NA,NA,NA,Wyższe,Właściciel
2880,15,NA,NA,NA,NA,Wyższe rolnicze,Dyrektor / wicedyrektor
2882,15,NA,NA,NA,NA,Średnie techniczne,???
2886,15,NA,NA,NA,NA,Wyższe,Główny agronom
1136,16,NA,NA,NA,Aronia,Średnie techniczne,Właściciel
1143,16,NA,NA,NA,NA,Średnie ogólne,Główny agronom
1145,16,NA,NA,NA,NA,Wyższe,Właściciel
1151,16,NA,NA,NA,Porzeczki,Średnie ogólne,Dyrektor / wicedyrektor
1154,16,NA,NA,NA,NA,Średnie techniczne,Agronom – ekspert
1167,16,NA,NA,NA,Borówki,Średnie techniczne,Główny agronom
1191,16,NA,NA,NA,Borówki,Wyższe,Dyrektor / wicedyrektor
1203,16,NA,NA,NA,NA,Średnie techniczne,Agronom – ekspert
1218,16,NA,NA,NA,Porzeczki,Średnie ogólne,Główny agronom
1221,16,NA,NA,NA,Porzeczki,Średnie techniczne,Agronom – ekspert
1233,16,NA,NA,NA,Porzeczki,Średnie techniczne,Właściciel
1234,16,NA,NA,NA,Porzeczki,Wyższe,Główny agronom
1236,16,NA,NA,NA,Porzeczki,Średnie ogólne,Właściciel
1256,16,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
1261,16,NA,NA,NA,NA,Średnie techniczne,Właściciel
1271,16,NA,NA,NA,NA,Średnie ogólne,???
1272,16,NA,NA,NA,Porzeczki,Wyższe,Agronom – ekspert
1286,16,NA,NA,NA,NA,Średnie ogólne,Główny agronom
1292,16,NA,NA,NA,Porzeczki,Średnie techniczne,Właściciel
1293,16,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
1294,16,NA,NA,NA,Borówki,Średnie ogólne,Główny agronom
1295,16,NA,NA,NA,NA,Średnie ogólne,Właściciel
1319,16,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
1322,16,NA,NA,NA,Borówki,Średnie techniczne,Właściciel
1327,16,NA,NA,NA,Porzeczki,Średnie ogólne,Główny agronom
1356,16,NA,NA,NA,Porzeczki,Średnie ogólne,Dyrektor / wicedyrektor
1358,16,NA,NA,NA,Porzeczki,Średnie techniczne,Dyrektor / wicedyrektor
1364,16,NA,NA,NA,NA,Średnie ogólne,Właściciel
1375,16,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
1377,16,NA,NA,NA,Porzeczki,Średnie ogólne,Dyrektor / wicedyrektor
1382,16,NA,NA,NA,NA,Średnie ogólne,???
1393,16,NA,NA,NA,NA,Wyższe rolnicze,Właściciel
1403,16,NA,NA,NA,NA,Średnie ogólne,Właściciel
1404,16,NA,NA,NA,NA,Średnie ogólne,Właściciel
1412,16,NA,NA,NA,Jagody,Średnie ogólne,Agronom – ekspert
1413,16,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
1430,16,NA,NA,NA,Jagody,Średnie ogólne,???
1450,16,NA,NA,NA,Borówki,Średnie ogólne,Agronom – ekspert
1469,16,NA,NA,NA,NA,Średnie ogólne,Właściciel
1475,16,NA,NA,NA,NA,Średnie techniczne,Agronom – ekspert
1476,16,NA,NA,NA,NA,Średnie ogólne,Główny agronom
1477,16,NA,NA,NA,Borówki,Średnie ogólne,Główny agronom
1490,16,NA,NA,NA,NA,Średnie techniczne,???
1501,16,NA,NA,NA,NA,Średnie ogólne,???
1503,16,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
1508,16,NA,NA,NA,Borówki,Średnie ogólne,Agronom – ekspert
1529,16,NA,NA,NA,NA,Średnie ogólne,Główny agronom
1531,16,NA,NA,NA,NA,Średnie ogólne,Właściciel
1540,16,NA,NA,NA,Maliny,Średnie ogólne,Właściciel
1548,16,NA,NA,NA,Borówki,Średnie ogólne,???
1567,16,NA,NA,NA,NA,Średnie ogólne,Właściciel
1575,16,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
1578,16,NA,NA,NA,NA,Średnie ogólne,Właściciel
1581,16,NA,NA,NA,NA,Średnie ogólne,Właściciel
1588,16,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
1591,16,NA,NA,NA,Borówki,Średnie ogólne,Właściciel
1599,16,NA,NA,NA,Porzeczki,Średnie ogólne,???
1605,16,NA,NA,NA,Porzeczki,Średnie ogólne,Agronom – ekspert
1634,16,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
1638,16,NA,NA,NA,NA,Średnie ogólne,Właściciel
1653,16,NA,NA,NA,Maliny,Średnie techniczne,Właściciel
1666,16,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
1672,16,NA,NA,NA,NA,Średnie ogólne,Właściciel
1694,16,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
1705,16,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
1710,16,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
1712,16,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
1719,16,NA,NA,NA,NA,Średnie ogólne,???
1739,16,NA,NA,NA,Aronia,Średnie ogólne,Główny agronom
1740,16,NA,NA,NA,NA,Średnie ogólne,Główny agronom
1752,16,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
1777,16,NA,NA,NA,Porzeczki,Średnie ogólne,Główny agronom
1792,16,NA,NA,NA,NA,Wyższe,???
1851,16,NA,NA,NA,Borówki,Średnie ogólne,???
1860,16,NA,NA,NA,NA,Średnie ogólne,Główny agronom
1863,16,NA,NA,NA,NA,Średnie ogólne,???
1866,16,NA,NA,NA,NA,Średnie ogólne,???
1870,16,NA,NA,NA,Aronia,Średnie ogólne,???
1909,16,NA,NA,NA,NA,Średnie ogólne,???
1959,16,NA,NA,NA,NA,Średnie ogólne,???
1971,16,NA,NA,NA,NA,Średnie ogólne,Właściciel
1974,16,NA,NA,NA,NA,Średnie techniczne,???
1978,16,NA,NA,NA,NA,Wyższe rolnicze,Właściciel
1984,16,NA,NA,NA,NA,Wyższe,Agronom – ekspert
1994,16,NA,NA,NA,Śliwki,Wyższe rolnicze,???
2000,16,NA,NA,NA,NA,Wyższe,Dyrektor / wicedyrektor
2004,16,NA,NA,NA,NA,Wyższe,Dyrektor / wicedyrektor
2019,16,NA,NA,NA,NA,Wyższe,Główny agronom
2024,16,NA,NA,NA,NA,Wyższe,Dyrektor / wicedyrektor
2026,16,NA,NA,NA,Jagody,Średnie techniczne,Główny agronom
2036,16,NA,NA,NA,NA,Wyższe,Właściciel
2051,16,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
2057,16,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
2061,16,NA,NA,NA,NA,Wyższe,???
2064,16,NA,NA,NA,NA,Średnie techniczne,???
2069,16,NA,NA,NA,NA,Wyższe rolnicze,Główny agronom
2070,16,NA,NA,NA,Wiśnie,Wyższe,???
2082,16,NA,NA,NA,NA,Wyższe,Główny agronom
2083,16,NA,NA,NA,NA,Średnie techniczne,Agronom – ekspert
2088,16,NA,NA,NA,NA,Wyższe,???
2101,16,NA,NA,NA,NA,Średnie techniczne,Dyrektor / wicedyrektor
2124,16,NA,NA,NA,NA,Wyższe,Właściciel
2128,16,NA,NA,NA,NA,Wyższe,Dyrektor / wicedyrektor
2138,16,NA,NA,NA,NA,Wyższe,???
2150,16,NA,NA,NA,NA,Wyższe,???
2159,16,NA,NA,NA,NA,Wyższe rolnicze,Dyrektor / wicedyrektor
2163,16,NA,NA,NA,NA,Średnie techniczne,Agronom – ekspert
2164,16,NA,NA,NA,NA,Średnie techniczne,Dyrektor / wicedyrektor
2167,16,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
2180,16,NA,NA,NA,NA,Średnie ogólne,Właściciel
2196,16,NA,NA,NA,NA,Średnie techniczne,???
2198,16,NA,NA,NA,NA,Wyższe,Właściciel
2209,16,NA,NA,NA,NA,Wyższe rolnicze,Agronom – ekspert
2210,16,NA,NA,NA,NA,Wyższe,???
2218,16,NA,NA,NA,NA,Wyższe,???
2223,16,NA,NA,NA,NA,Wyższe rolnicze,Właściciel
2231,16,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
2262,16,NA,NA,NA,NA,Średnie ogólne,???
2269,16,NA,NA,NA,NA,Średnie ogólne,???
2270,16,NA,NA,NA,Maliny,Wyższe,Właściciel
2283,16,NA,NA,NA,NA,Wyższe,Dyrektor / wicedyrektor
2291,16,NA,NA,NA,NA,Wyższe,Główny agronom
2300,16,NA,NA,NA,Jagody,Średnie techniczne,Agronom – ekspert
2309,16,NA,NA,NA,NA,Wyższe,Agronom – ekspert
2311,16,NA,NA,NA,NA,Średnie techniczne,Główny agronom
2316,16,NA,NA,NA,NA,Średnie ogólne,Właściciel
2326,16,NA,NA,NA,NA,Wyższe rolnicze,Agronom – ekspert
2329,16,NA,NA,NA,NA,Średnie ogólne,???
2341,16,NA,NA,NA,Gruszki,Średnie techniczne,Właściciel
2343,16,NA,NA,NA,NA,Wyższe,Agronom – ekspert
2355,16,NA,NA,NA,NA,Wyższe rolnicze,???
2420,16,NA,NA,NA,NA,Średnie techniczne,Agronom – ekspert
2422,16,NA,NA,NA,NA,Średnie ogólne,Główny agronom
2432,16,NA,NA,NA,NA,Wyższe rolnicze,Inne
2437,16,NA,NA,NA,NA,Wyższe,Agronom – ekspert
2438,16,NA,NA,NA,NA,Wyższe rolnicze,Główny agronom
2442,16,NA,NA,NA,NA,Wyższe rolnicze,???
2446,16,NA,NA,NA,NA,Średnie ogólne,Właściciel
2452,16,NA,NA,NA,NA,Wyższe,Dyrektor / wicedyrektor
2457,16,NA,NA,NA,NA,Średnie techniczne,Dyrektor / wicedyrektor
2479,16,NA,NA,NA,NA,Wyższe rolnicze,Główny agronom
2484,16,NA,NA,NA,NA,Średnie techniczne,Agronom – ekspert
2489,16,NA,NA,NA,NA,Wyższe rolnicze,Agronom – ekspert
2500,16,NA,NA,NA,NA,Wyższe rolnicze,Agronom – ekspert
2504,16,NA,NA,NA,NA,Wyższe rolnicze,Dyrektor / wicedyrektor
2509,16,NA,NA,NA,NA,Średnie techniczne,Właściciel
2520,16,NA,NA,NA,NA,Średnie techniczne,Właściciel
2527,16,NA,NA,NA,Borówki,Średnie ogólne,Właściciel
2537,16,NA,NA,NA,NA,Średnie ogólne,Właściciel
2538,16,NA,NA,NA,NA,Średnie techniczne,???
2545,16,NA,NA,NA,NA,Wyższe,Główny agronom
2549,16,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
2563,16,NA,NA,NA,NA,Wyższe rolnicze,Agronom – ekspert
2568,16,NA,NA,NA,NA,Średnie techniczne,???
2571,16,NA,NA,NA,NA,Wyższe,Agronom – ekspert
2574,16,NA,NA,NA,NA,Średnie techniczne,Dyrektor / wicedyrektor
2603,16,NA,NA,NA,Jabłka,Średnie ogólne,Główny agronom
2613,16,NA,NA,NA,NA,Wyższe,Dyrektor / wicedyrektor
2628,16,NA,NA,NA,NA,Wyższe,Agronom – ekspert
2631,16,NA,NA,NA,NA,Wyższe rolnicze,Agronom – ekspert
2634,16,NA,NA,NA,NA,Wyższe,???
2638,16,NA,NA,NA,NA,Wyższe,Agronom – ekspert
2643,16,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
2647,16,NA,NA,NA,NA,Średnie techniczne,Dyrektor / wicedyrektor
2660,16,NA,NA,NA,NA,Wyższe,Agronom – ekspert
2670,16,NA,NA,NA,NA,Średnie ogólne,Główny agronom
2674,16,NA,NA,NA,NA,Wyższe rolnicze,Agronom – ekspert
2685,16,NA,NA,NA,NA,Średnie ogólne,Właściciel
2688,16,NA,NA,NA,NA,Średnie ogólne,???
2703,16,NA,NA,NA,NA,Wyższe,???
2707,16,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
2712,16,NA,NA,NA,NA,Średnie techniczne,Właściciel
2716,16,NA,NA,NA,NA,Średnie techniczne,Dyrektor / wicedyrektor
2719,16,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
2727,16,NA,NA,NA,NA,Średnie techniczne,Agronom – ekspert
2744,16,NA,NA,NA,NA,Wyższe,Dyrektor / wicedyrektor
2750,16,NA,NA,NA,NA,Wyższe,Główny agronom
2769,16,NA,NA,NA,NA,Wyższe rolnicze,Właściciel
2773,16,NA,NA,NA,Truskawki,Średnie ogólne,Agronom – ekspert
2780,16,NA,NA,NA,NA,Wyższe,Dyrektor / wicedyrektor
2790,16,NA,NA,NA,NA,Średnie ogólne,???
2795,16,NA,NA,NA,NA,Wyższe rolnicze,Właściciel
2798,16,NA,NA,NA,NA,Średnie techniczne,Właściciel
2801,16,NA,NA,NA,NA,Średnie techniczne,Główny agronom
2804,16,NA,NA,NA,NA,Wyższe rolnicze,Agronom – ekspert
2809,16,NA,NA,NA,NA,Wyższe,???
2815,16,NA,NA,NA,NA,Średnie techniczne,Właściciel
2822,16,NA,NA,NA,NA,Średnie techniczne,Właściciel
2824,16,NA,NA,NA,NA,Średnie techniczne,Właściciel
2832,16,NA,NA,NA,NA,Średnie ogólne,???
2835,16,NA,NA,NA,NA,Średnie techniczne,???
2837,16,NA,NA,NA,NA,Średnie techniczne,Dyrektor / wicedyrektor
2853,16,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
2862,16,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
2868,16,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
2871,16,NA,NA,NA,NA,Wyższe,Główny agronom
2879,16,NA,NA,NA,NA,Wyższe,Właściciel
2880,16,NA,NA,NA,NA,Wyższe rolnicze,Dyrektor / wicedyrektor
2882,16,NA,NA,NA,NA,Średnie techniczne,???
2886,16,NA,NA,NA,NA,Wyższe,Główny agronom
1136,17,NA,NA,NA,NA,Średnie techniczne,Właściciel
1143,17,NA,NA,NA,NA,Średnie ogólne,Główny agronom
1145,17,NA,NA,NA,NA,Wyższe,Właściciel
1151,17,NA,NA,NA,Maliny,Średnie ogólne,Dyrektor / wicedyrektor
1154,17,NA,NA,NA,NA,Średnie techniczne,Agronom – ekspert
1167,17,NA,NA,NA,Porzeczki,Średnie techniczne,Główny agronom
1191,17,NA,NA,NA,Porzeczki,Wyższe,Dyrektor / wicedyrektor
1203,17,NA,NA,NA,NA,Średnie techniczne,Agronom – ekspert
1218,17,NA,NA,NA,NA,Średnie ogólne,Główny agronom
1221,17,NA,NA,NA,Jagody,Średnie techniczne,Agronom – ekspert
1233,17,NA,NA,NA,NA,Średnie techniczne,Właściciel
1234,17,NA,NA,NA,NA,Wyższe,Główny agronom
1236,17,NA,NA,NA,NA,Średnie ogólne,Właściciel
1256,17,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
1261,17,NA,NA,NA,NA,Średnie techniczne,Właściciel
1271,17,NA,NA,NA,NA,Średnie ogólne,???
1272,17,NA,NA,NA,NA,Wyższe,Agronom – ekspert
1286,17,NA,NA,NA,NA,Średnie ogólne,Główny agronom
1292,17,NA,NA,NA,NA,Średnie techniczne,Właściciel
1293,17,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
1294,17,NA,NA,NA,Porzeczki,Średnie ogólne,Główny agronom
1295,17,NA,NA,NA,NA,Średnie ogólne,Właściciel
1319,17,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
1322,17,NA,NA,NA,Maliny,Średnie techniczne,Właściciel
1327,17,NA,NA,NA,Aronia,Średnie ogólne,Główny agronom
1356,17,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
1358,17,NA,NA,NA,Jagody,Średnie techniczne,Dyrektor / wicedyrektor
1364,17,NA,NA,NA,NA,Średnie ogólne,Właściciel
1375,17,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
1377,17,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
1382,17,NA,NA,NA,NA,Średnie ogólne,???
1393,17,NA,NA,NA,NA,Wyższe rolnicze,Właściciel
1403,17,NA,NA,NA,NA,Średnie ogólne,Właściciel
1404,17,NA,NA,NA,NA,Średnie ogólne,Właściciel
1412,17,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
1413,17,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
1430,17,NA,NA,NA,NA,Średnie ogólne,???
1450,17,NA,NA,NA,Porzeczki,Średnie ogólne,Agronom – ekspert
1469,17,NA,NA,NA,NA,Średnie ogólne,Właściciel
1475,17,NA,NA,NA,NA,Średnie techniczne,Agronom – ekspert
1476,17,NA,NA,NA,NA,Średnie ogólne,Główny agronom
1477,17,NA,NA,NA,Porzeczki,Średnie ogólne,Główny agronom
1490,17,NA,NA,NA,NA,Średnie techniczne,???
1501,17,NA,NA,NA,NA,Średnie ogólne,???
1503,17,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
1508,17,NA,NA,NA,Porzeczki,Średnie ogólne,Agronom – ekspert
1529,17,NA,NA,NA,NA,Średnie ogólne,Główny agronom
1531,17,NA,NA,NA,NA,Średnie ogólne,Właściciel
1540,17,NA,NA,NA,Aronia,Średnie ogólne,Właściciel
1548,17,NA,NA,NA,Porzeczki,Średnie ogólne,???
1567,17,NA,NA,NA,NA,Średnie ogólne,Właściciel
1575,17,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
1578,17,NA,NA,NA,NA,Średnie ogólne,Właściciel
1581,17,NA,NA,NA,NA,Średnie ogólne,Właściciel
1588,17,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
1591,17,NA,NA,NA,Porzeczki,Średnie ogólne,Właściciel
1599,17,NA,NA,NA,NA,Średnie ogólne,???
1605,17,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
1634,17,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
1638,17,NA,NA,NA,NA,Średnie ogólne,Właściciel
1653,17,NA,NA,NA,NA,Średnie techniczne,Właściciel
1666,17,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
1672,17,NA,NA,NA,NA,Średnie ogólne,Właściciel
1694,17,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
1705,17,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
1710,17,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
1712,17,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
1719,17,NA,NA,NA,NA,Średnie ogólne,???
1739,17,NA,NA,NA,NA,Średnie ogólne,Główny agronom
1740,17,NA,NA,NA,NA,Średnie ogólne,Główny agronom
1752,17,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
1777,17,NA,NA,NA,NA,Średnie ogólne,Główny agronom
1792,17,NA,NA,NA,NA,Wyższe,???
1851,17,NA,NA,NA,Porzeczki,Średnie ogólne,???
1860,17,NA,NA,NA,NA,Średnie ogólne,Główny agronom
1863,17,NA,NA,NA,NA,Średnie ogólne,???
1866,17,NA,NA,NA,NA,Średnie ogólne,???
1870,17,NA,NA,NA,NA,Średnie ogólne,???
1909,17,NA,NA,NA,NA,Średnie ogólne,???
1959,17,NA,NA,NA,NA,Średnie ogólne,???
1971,17,NA,NA,NA,NA,Średnie ogólne,Właściciel
1974,17,NA,NA,NA,NA,Średnie techniczne,???
1978,17,NA,NA,NA,NA,Wyższe rolnicze,Właściciel
1984,17,NA,NA,NA,NA,Wyższe,Agronom – ekspert
1994,17,NA,NA,NA,NA,Wyższe rolnicze,???
2000,17,NA,NA,NA,NA,Wyższe,Dyrektor / wicedyrektor
2004,17,NA,NA,NA,NA,Wyższe,Dyrektor / wicedyrektor
2019,17,NA,NA,NA,NA,Wyższe,Główny agronom
2024,17,NA,NA,NA,NA,Wyższe,Dyrektor / wicedyrektor
2026,17,NA,NA,NA,NA,Średnie techniczne,Główny agronom
2036,17,NA,NA,NA,NA,Wyższe,Właściciel
2051,17,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
2057,17,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
2061,17,NA,NA,NA,NA,Wyższe,???
2064,17,NA,NA,NA,NA,Średnie techniczne,???
2069,17,NA,NA,NA,NA,Wyższe rolnicze,Główny agronom
2070,17,NA,NA,NA,NA,Wyższe,???
2082,17,NA,NA,NA,NA,Wyższe,Główny agronom
2083,17,NA,NA,NA,NA,Średnie techniczne,Agronom – ekspert
2088,17,NA,NA,NA,NA,Wyższe,???
2101,17,NA,NA,NA,NA,Średnie techniczne,Dyrektor / wicedyrektor
2124,17,NA,NA,NA,NA,Wyższe,Właściciel
2128,17,NA,NA,NA,NA,Wyższe,Dyrektor / wicedyrektor
2138,17,NA,NA,NA,NA,Wyższe,???
2150,17,NA,NA,NA,NA,Wyższe,???
2159,17,NA,NA,NA,NA,Wyższe rolnicze,Dyrektor / wicedyrektor
2163,17,NA,NA,NA,NA,Średnie techniczne,Agronom – ekspert
2164,17,NA,NA,NA,NA,Średnie techniczne,Dyrektor / wicedyrektor
2167,17,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
2180,17,NA,NA,NA,NA,Średnie ogólne,Właściciel
2196,17,NA,NA,NA,NA,Średnie techniczne,???
2198,17,NA,NA,NA,NA,Wyższe,Właściciel
2209,17,NA,NA,NA,NA,Wyższe rolnicze,Agronom – ekspert
2210,17,NA,NA,NA,NA,Wyższe,???
2218,17,NA,NA,NA,NA,Wyższe,???
2223,17,NA,NA,NA,NA,Wyższe rolnicze,Właściciel
2231,17,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
2262,17,NA,NA,NA,NA,Średnie ogólne,???
2269,17,NA,NA,NA,NA,Średnie ogólne,???
2270,17,NA,NA,NA,Truskawki,Wyższe,Właściciel
2283,17,NA,NA,NA,NA,Wyższe,Dyrektor / wicedyrektor
2291,17,NA,NA,NA,NA,Wyższe,Główny agronom
2300,17,NA,NA,NA,Truskawki,Średnie techniczne,Agronom – ekspert
2309,17,NA,NA,NA,NA,Wyższe,Agronom – ekspert
2311,17,NA,NA,NA,NA,Średnie techniczne,Główny agronom
2316,17,NA,NA,NA,NA,Średnie ogólne,Właściciel
2326,17,NA,NA,NA,NA,Wyższe rolnicze,Agronom – ekspert
2329,17,NA,NA,NA,NA,Średnie ogólne,???
2341,17,NA,NA,NA,NA,Średnie techniczne,Właściciel
2343,17,NA,NA,NA,NA,Wyższe,Agronom – ekspert
2355,17,NA,NA,NA,NA,Wyższe rolnicze,???
2420,17,NA,NA,NA,NA,Średnie techniczne,Agronom – ekspert
2422,17,NA,NA,NA,NA,Średnie ogólne,Główny agronom
2432,17,NA,NA,NA,NA,Wyższe rolnicze,Inne
2437,17,NA,NA,NA,NA,Wyższe,Agronom – ekspert
